DB00001	Lepirudin	OTQCKZUSUGYWBD-BRHMIFOHSA-N
DB11848	Mannose 6-phosphate	VFRROHXSMXFLSN-KVTDHHQDSA-N
DB11851	Bafetinib	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N
DB11852	Tegobuvir	XBEQSQDCBSKCHJ-UHFFFAOYSA-N
DB11853	Relugolix	AOMXMOCNKJTRQP-UHFFFAOYSA-N
DB11855	Revefenacin	FYDWDCIFZSGNBU-UHFFFAOYSA-N
DB11858	Leukotriene D4	YEESKJGWJFYOOK-IJHYULJSSA-N
DB11859	Brexanolone	AURFZBICLPNKBZ-SYBPFIFISA-N
DB11860	Aramchol	SHKXZIQNFMOPBS-OOMQYRRCSA-N
DB11861	Litronesib	YVAFBXLHPINSIK-QHCPKHFHSA-N
DB11863	Alvelestat	QNQZWEGMKJBHEM-UHFFFAOYSA-N
DB11864	Preladenant	DTYWJKSSUANMHD-UHFFFAOYSA-N
DB11865	Brivanib alaninate	LTEJRLHKIYCEOX-OCCSQVGLSA-N
DB11867	JNJ-39393406	IURMHZBQEYNQOH-UHFFFAOYSA-N
DB11868	Etiracetam	HPHUVLMMVZITSG-UHFFFAOYSA-N
DB11869	Valspodar	YJDYDFNKCBANTM-QCWCSKBGSA-N
DB11870	RG-4733	OJPLJFIFUQPSJR-INIZCTEOSA-N
DB11871	PF-00610355	YPHDIMUXXABSSO-YTTGMZPUSA-N
DB11872	ZD-6126	UGBMEXLBFDAOGL-INIZCTEOSA-N
DB11873	Verinurad	YYBOLPLTQDKXPM-UHFFFAOYSA-N
DB11874	Crocin	SEBIKDIMAPSUBY-RTJKDTQDSA-N
DB11875	33'-diindolylmethane	VFTRKSBEFQDZKX-UHFFFAOYSA-N
DB11876	Alanyl Glutamine	HJCMDXDYPOUFDY-WHFBIAKZSA-N
DB11877	Basmisanil	VCGRFBXVSFAGGA-UHFFFAOYSA-N
DB11878	Filibuvir	SLVAPEZTBDBAPI-GDLZYMKVSA-N
DB11879	Dusquetide	ZUJBBVJXXYRPFS-DYKIIFRCSA-N
DB11880	Acridine Carboxamide	XBGNERSKEKDZDS-UHFFFAOYSA-N
DB11881	AUY922	WLYWTGDTMWWNNG-UHFFFAOYSA-N
DB11882	BPC-157	HEEWEZGQMLZMFE-RKGINYAYSA-N
DB11883	SB-705498	JYILLRHXRVTRSH-GFCCVEGCSA-N
DB11885	Anlotinib	KSMZEXLVHXZPEF-UHFFFAOYSA-N
DB11886	Infigratinib	QADPYRIHXKWUSV-UHFFFAOYSA-N
DB11887	Arundic acid	YCYMCMYLORLIJX-SNVBAGLBSA-N
DB11888	Laninamivir octanoate	UKTIJASCFRNWCB-RMIBSVFLSA-N
DB11889	Lanicemine	FWUQWDCOOWEXRY-ZDUSSCGKSA-N
DB11890	Cilengitide	AMLYAMJWYAIXIA-VWNVYAMZSA-N
DB11891	CUDC-907	JOWXJLIFIIOYMS-UHFFFAOYSA-N
DB11892	Prulifloxacin	PWNMXPDKBYZCOO-UHFFFAOYSA-N
DB11893	Avagacestat	XEAOPVUAMONVLA-QGZVFWFLSA-N
DB11894	Efatutazone	JCYNMRJCUYVDBC-UHFFFAOYSA-N
DB11896	Gedatolisib	DWZAEMINVBZMHQ-UHFFFAOYSA-N
DB11897	Beclomethasone dipropionate	KUVIULQEHSCUHY-XYWKZLDCSA-N
DB11898	24-thiazolidinedione	ZOBPZXTWZATXDG-UHFFFAOYSA-N
DB11899	MK-8776	GMIZZEXBPRLVIV-SECBINFHSA-N
DB11900	OC-459	FATGTHLOZSXOBC-UHFFFAOYSA-N
DB11901	Apalutamide	HJBWBFZLDZWPHF-UHFFFAOYSA-N
DB11902	Gisadenafil	YPFZMBHKIVDSNR-UHFFFAOYSA-N
DB11903	GW842166	TWQYWUXBZHPIIV-UHFFFAOYSA-N
DB11904	Flumatinib	BJCJYEYYYGBROF-UHFFFAOYSA-N
DB11905	Sutezolid	FNDDDNOJWPQCBZ-ZDUSSCGKSA-N
DB11906	Acyline	ZWNUQDJANZGVFO-YHSALVGYSA-N
DB11907	Rociletinib	HUFOZJXAKZVRNJ-UHFFFAOYSA-N
DB11908	Dapivirine	ILAYIAGXTHKHNT-UHFFFAOYSA-N
DB11909	Varespladib	BHLXTPHDSZUFHR-UHFFFAOYSA-N
DB11910	MK-0249	DDDZBLNULGDPGA-UHFFFAOYSA-N
DB11911	Galunisertib	IVRXNBXKWIJUQB-UHFFFAOYSA-N
DB11912	Lanopepden	SWHNZGMQMGFQGW-MSOLQXFVSA-N
DB11913	LY-2090314	HRJWTAWVFDCTGO-UHFFFAOYSA-N
DB11915	Valbenazine	GEJDGVNQKABXKG-CFKGEZKQSA-N
DB11916	Indium In-111	APFVFJFRJDLVQX-AHCXROLUSA-N
DB11917	Vatiquinone	LNOVHERIIMJMDG-XZXLULOTSA-N
DB11918	Guadecitabine	GUWXKKAWLCENJA-WGWHJZDNSA-N
DB11919	6-O-benzylguanine	KRWMERLEINMZFT-UHFFFAOYSA-N
DB11920	Lesogaberan	LJNUIEQATDYXJH-GSVOUGTGSA-N
DB11921	Deflazacort	FBHSPRKOSMHSIF-GRMWVWQJSA-N
DB11922	Danirixin	NGYNBSHYFOFVLS-LBPRGKRZSA-N
DB11923	Decoglurant	DMJHZVARRXJSEG-UHFFFAOYSA-N
DB11924	Safingol	OTKJDMGTUTTYMP-ROUUACIJSA-N
DB11925	Vistusertib	JUSFANSTBFGBAF-IRXDYDNUSA-N
DB11927	Lodenafil carbonate	MVYUCRDXZXLFSB-UHFFFAOYSA-N
DB11929	Vaniprevir	KUQWGLQLLVFLSM-ONAXAZCASA-N
DB11931	scyllo-inositol	CDAISMWEOUEBRE-CDRYSYESSA-N
DB11932	Abametapir	PTRATZCAGVBFIQ-UHFFFAOYSA-N
DB11933	Riboprine	USVMJSALORZVDV-SDBHATRESA-N
DB11934	Epelsiban	UWHCWRQFNKUYCG-QUZACWSFSA-N
DB11935	Flomoxef	UHRBTBZOWWGKMK-DOMZBBRYSA-N
DB11936	Bempedoic acid	HYHMLYSLQUKXKP-UHFFFAOYSA-N
DB11937	Kynurenic Acid	HCZHHEIFKROPDY-UHFFFAOYSA-N
DB11938	Difelikefalin	FWMNVWWHGCHHJJ-SKKKGAJSSA-N
DB11939	Henagliflozin	HYTPDMFFHVZBOR-VNXMGFANSA-N
DB11940	Triapine	XMYKNCNAZKMVQN-NYYWCZLTSA-N
DB11941	Tasisulam	WWONFUQGBVOKOF-UHFFFAOYSA-N
DB11942	Selinexor	DEVSOMFAQLZNKR-RJRFIUFISA-N
DB11943	Delafloxacin	DYDCPNMLZGFQTM-UHFFFAOYSA-N
DB11944	Ingavirin	KZIMLUFVKJLCCH-UHFFFAOYSA-N
DB11946	AZD-1981	JWYIGNODXSRKGP-UHFFFAOYSA-N
DB11947	Pridopidine	YGKUEOZJFIXDGI-UHFFFAOYSA-N
DB11948	Lapachone	QZPQTZZNNJUOLS-UHFFFAOYSA-N
DB11949	Vestipitant	SBBYBXSFWOLDDG-JLTOFOAXSA-N
DB11950	Teneligliptin	WGRQANOPCQRCME-PMACEKPBSA-N
DB11951	Lemborexant	MUGXRYIUWFITCP-PGRDOPGGSA-N
DB11952	Duvelisib	SJVQHLPISAIATJ-ZDUSSCGKSA-N
DB11953	PF-04447943	IWXUVYOOUMLUTQ-CZUORRHYSA-N
DB11954	Lomibuvir	WPMJNLCLKAKMLA-VVPTUSLJSA-N
DB11956	Delanzomib	SJFBTAPEPRWNKH-CCKFTAQKSA-N
DB11957	Idalopirdine	YBAWYTYNMZWMMJ-UHFFFAOYSA-N
DB11958	Brivanib	WCWUXEGQKLTGDX-LLVKDONJSA-N
DB11960	Carboxyamidotriazole	WNRZHQBJSXRYJK-UHFFFAOYSA-N
DB11961	AZD-1236	SFJFBTPHDHUUPU-OAHLLOKOSA-N
DB11962	GSK-1059615	QDITZBLZQQZVEE-YBEGLDIGSA-N
DB11963	Dacomitinib	LVXJQMNHJWSHET-AATRIKPKSA-N
DB11964	Ilaprazole	HRRXCXABAPSOCP-UHFFFAOYSA-N
DB11965	SJG-136	RWZVMMQNDHPRQD-SFTDATJTSA-N
DB11966	BMS-986094	YFXGICNMLCGLHJ-RSKRLRQZSA-N
DB11967	Binimetinib	ACWZRVQXLIRSDF-UHFFFAOYSA-N
DB11968	MK-7145	OCKGFTQIICXDQW-ZEQRLZLVSA-N
DB11969	Uprosertib	AXTAPYRUEKNRBA-JTQLQIEISA-N
DB11970	Burixafor	QLVSJMZJSABWRX-YHBQERECSA-N
DB11971	Vilaprisan	JUFWQQVHQFDUOD-ANRPBIDPSA-N
DB11973	Tesevatinib	HVXKQKFEHMGHSL-QKDCVEJESA-N
DB11974	PF-04691502	XDLYKKIQACFMJG-WKILWMFISA-N
DB11975	TAK-448	MWXWMWSUUYXMRA-GRKBUMBKSA-N
DB11977	Golvatinib	UQRCJCNVNUFYDX-UHFFFAOYSA-N
DB11978	Glasdegib	SFNSLLSYNZWZQG-VQIMIIECSA-N
DB11979	Elagolix	HEAUOKZIVMZVQL-VWLOTQADSA-N
DB11981	Elamipretide	SFVLTCAESLKEHH-WKAQUBQDSA-N
DB11982	GDC-0623	RFWVETIZUQEJEF-UHFFFAOYSA-N
DB11984	Letaxaban	GEHAEMCVKDPMKO-HXUWFJFHSA-N
DB11985	Dapaconazole	FUAHXHWSMYFWGE-UHFFFAOYSA-N
DB11986	Entrectinib	HAYYBYPASCDWEQ-UHFFFAOYSA-N
DB11987	GSK-2018682	NFIGDBFIDKDNIG-UHFFFAOYSA-N
DB11989	Benznidazole	CULUWZNBISUWAS-UHFFFAOYSA-N
DB11990	MK-0812	UNVWTBOGMHPKJM-CWKRKGSWSA-N
DB11991	Oprozomib	SWZXEVABPLUDIO-WSZYKNRRSA-N
DB11992	Omarigliptin	MKMPWKUAHLTIBJ-ISTRZQFTSA-N
DB11993	PF-03463275	KYLOBHXXQOZRKK-FICVDOATSA-N
DB11994	Diacerein	TYNLGDBUJLVSMA-UHFFFAOYSA-N
DB11995	Avatrombopag	OFZJKCQENFPZBH-UHFFFAOYSA-N
DB11996	Thymopentin	PSWFFKRAVBDQEG-YGQNSOCVSA-N
DB11998	Sorivudine	GCQYYIHYQMVWLT-HQNLTJAPSA-N
DB11999	Vosaroxin	XZAFZXJXZHRNAQ-STQMWFEESA-N
DB12000	Apabetalone	NETXMUIMUZJUTB-UHFFFAOYSA-N
DB12001	Abemaciclib	UZWDCWONPYILKI-UHFFFAOYSA-N
DB12002	AZD-4818	HVTUHSABWJPWNK-SFHVURJKSA-N
DB12004	Briciclib	LXENKEWVEVKKGV-BQYQJAHWSA-N
DB12005	Nirogacestat	VFCRKLWBYMDAED-REWPJTCUSA-N
DB12006	BMS-906024	AYOUDDAETNMCBW-GSHUGGBRSA-N
DB12007	Isoflavone	GOMNOOKGLZYEJT-UHFFFAOYSA-N
DB12008	Prexasertib	DOTGPNHGTYJDEP-UHFFFAOYSA-N
DB12009	GW-406381	NXMZBNYLCVTRGB-UHFFFAOYSA-N
DB12010	Fostamatinib	GKDRMWXFWHEQQT-UHFFFAOYSA-N
DB12011	Fevipiprant	GFPPXZDRVCSVNR-UHFFFAOYSA-N
DB12012	PF-04457845	BATCTBJIJJEPHM-UHFFFAOYSA-N
DB12013	Axelopran	ATLYLVPZNWDJBW-KIHHCIJBSA-N
DB12015	Alpelisib	STUWGJZDJHPWGZ-LBPRGKRZSA-N
DB12016	Ponesimod	LPAUOXUZGSBGDU-STDDISTJSA-N
DB12017	Ozagrel	SHZKQBHERIJWAO-AATRIKPKSA-N
DB12019	Tesetaxel	MODVSQKJJIBWPZ-VLLPJHQWSA-N
DB12020	Tecovirimat	CSKDFZIMJXRJGH-VWLPUNTISA-N
DB12021	Dinaciclib	PIMQWRZWLQKKBJ-SFHVURJKSA-N
DB12022	Evatanepag	WOHRHWDYFNWPNG-UHFFFAOYSA-N
DB12024	PF-04418948	LWJGMYMNSNVCEM-UHFFFAOYSA-N
DB12025	Triptolide	DFBIRQPKNDILPW-CIVMWXNOSA-N
DB12026	Voxilaprevir	MZBLZLWXUBZHSL-FZNJKFJKSA-N
DB12027	Serdemetan	CEGSUKYESLWKJP-UHFFFAOYSA-N
DB12028	Broxuridine	WOVKYSAHUYNSMH-RRKCRQDMSA-N
DB12029	Chlorogenic Acid	CWVRJTMFETXNAD-JUHZACGLSA-N
DB12030	Fluorescein lisicol	PVZRIVQDZVBHOW-TZCNZRNCSA-N
DB12032	Atagabalin	IUVMAUQEZFTTFB-YUMQZZPRSA-N
DB12033	Cediranib	XXJWYDDUDKYVKI-UHFFFAOYSA-N
DB12035	Sarecycline	PQJQFLNBMSCUSH-SBAJWEJLSA-N
DB12036	Naquotinib	QKDCLUARMDUUKN-XMMPIXPASA-N
DB12037	Vedroprevir	OTXAMWFYPMNDME-FQQWJMKMSA-N
DB12038	Ulinastatin	ODVKSTFPQDVPJZ-UHFFFAOYSA-N
DB12039	Epicatechin	PFTAWBLQPZVEMU-UKRRQHHQSA-N
DB12040	2-octyl cyanoacrylate	CQVWXNBVRLKXPE-UHFFFAOYSA-N
DB12041	Mapracorat	VJGFOYBQOIPQFY-XMMPIXPASA-N
DB12042	Ibodutant	YQYSVMKCMIUCHY-WJOKGBTCSA-N
DB12043	Sepetaprost	BKVUSNOUTQMSBE-XCMGCKIWSA-N
DB12044	MK-0893	DNTVJEMGHBIUMW-IBGZPJMESA-N
DB12045	Mericitabine	MLESJYFEMSJZLZ-MAAOGQSESA-N
DB12046	Atopaxar	QWKAUGRRIXBIPO-UHFFFAOYSA-N
DB12047	Ganetespib	RVAQIUULWULRNW-UHFFFAOYSA-N
DB12048	Savolitinib	XYDNMOZJKOGZLS-NSHDSACASA-N
DB12049	Dasolampanel etibutil	HPBRMCFZIGUGTK-ZMMAXQRCSA-N
DB12050	LY-3039478	YCBAQKQAINQRFW-UGSOOPFHSA-N
DB12051	Setrobuvir	DEKOYVOWOVJMPM-RLHIPHHXSA-N
DB12052	Icariin	TZJALUIVHRYQQB-XLRXWWTNSA-N
DB12054	BQ-123	VYCMAAOURFJIHD-PJNXIOHISA-N
DB12055	MK-0767	ORZMUVMQJPGFOM-UHFFFAOYSA-N
DB12057	ORM-12741	OCUKPFWNSAAHRP-QZTJIDSGSA-N
DB12058	Recoflavone	BCPQOBQIVJZOFL-UHFFFAOYSA-N
DB12059	JNJ-40411813	HYOGJHCDLQSAHX-UHFFFAOYSA-N
DB12060	RRx-001	JODKFOVZURLVTG-UHFFFAOYSA-N
DB12061	Pardoprunox	YVPUUUDAZYFFQT-UHFFFAOYSA-N
DB12062	Volasertib	SXNJFOWDRLKDSF-STROYTFGSA-N
DB12063	CERC-301	RECBFDWSXWAXHY-IAGOWNOFSA-N
DB12064	BMS-777607	VNBRGSXVFBYQNN-UHFFFAOYSA-N
DB12065	Radalbuvir	MUICUPWICXUNRS-GDCCIXDYSA-N
DB12066	Orteronel	OZPFIJIOIVJZMN-SFHVURJKSA-N
DB12067	BMS-394136	LADJRPDOKVCQCG-NZQKXSOJSA-N
DB12068	T-900607	FSXLOWIFSZNIMV-UHFFFAOYSA-N
DB12069	Sovaprevir	MHFMTUBUVQZIRE-WINRQGAFSA-N
DB12070	Letermovir	FWYSMLBETOMXAG-QHCPKHFHSA-N
DB12071	Vabicaserin	NPTIPEQJIDTVKR-STQMWFEESA-N
DB12072	Orantinib	NHFDRBXTEDBWCZ-ZROIWOOFSA-N
DB12073	Albaconazole	UHIXWHUVLCAJQL-MPBGBICISA-N
DB12074	Censavudine	OSYWBJSVKUFFSU-SKDRFNHKSA-N
DB12078	Enobosarm	JNGVJMBLXIUVRD-SFHVURJKSA-N
DB12079	Gefarnate	ZPACYDRSPFRDHO-ROBAGEODSA-N
DB12080	Ritobegron	VMMYRRFPMAGXNP-BTYIYWSLSA-N
DB12081	Anecortave	BCFCRXOJOFDUMZ-ONKRVSLGSA-N
DB12082	Vesnarinone	ZVNYJIZDIRKMBF-UHFFFAOYSA-N
DB12083	Mafosfamide	PBUUPFTVAPUWDE-UGZDLDLSSA-N
DB12084	ADP-597	WPDCHTSXOPUOII-UHFFFAOYSA-N
DB12085	LCL-161	UFPFGVNKHCLJJO-SSKFGXFMSA-N
DB12086	Oxitropium	NVOYVOBDTVTBDX-PMEUIYRNSA-N
DB12087	Vanillyl alcohol	ZENOXNGFMSCLLL-UHFFFAOYSA-N
DB12088	TT-232	SNAJPQVDGYDQSW-DYCFWDQMSA-N
DB12091	Gadolinium	UIWYJDYFSGRHKR-UHFFFAOYSA-N
DB12092	Naftopidil	HRRBJVNMSRJFHQ-UHFFFAOYSA-N
DB12093	Tetrahydropalmatine	AEQDJSLRWYMAQI-KRWDZBQOSA-N
DB12094	Semapimod	PWDYHMBTPGXCSN-VCBMUGGBSA-N
DB12095	Telotristat ethyl	MDSQOJYHHZBZKA-GBXCKJPGSA-N
DB12096	PF-05175157	BDXXSFOJPYSYOC-UHFFFAOYSA-N
DB12097	Mannitol busulfan	ODOISJJCWUVNDJ-WCTZXXKLSA-N
DB12098	L-Baclofen	KPYSYYIEGFHWSV-MRVPVSSYSA-N
DB12099	UK-396082	OTDGPKRCQXSTPV-JTQLQIEISA-N
DB12100	Abediterol	SFYAXIFVXBKRPK-QFIPXVFZSA-N
DB12101	CC-220	IXZOHGPZAQLIBH-NRFANRHFSA-N
DB12103	RH-1	JKDLOGLNPDVUCX-UHFFFAOYSA-N
DB12105	Imagabalin	JXEHXYFSIOYTAH-SFYZADRCSA-N
DB12106	PF-06305591	APWZIFIAVVFPNT-PELKAZGASA-N
DB12107	Vaborbactam	IOOWNWLVCOUUEX-WPRPVWTQSA-N
DB12108	Taselisib	BEUQXVWXFDOSAQ-UHFFFAOYSA-N
DB12109	CPI-613	ZYRLHJIMTROTBO-UHFFFAOYSA-N
DB12110	m-Chlorophenylpiperazine	VHFVKMTVMIZMIK-UHFFFAOYSA-N
DB12111	MK-212	CJAWPFJGFFNXQI-UHFFFAOYSA-N
DB12112	Zuretinol acetate	QGNJRVVDBSJHIZ-AQDFTDIISA-N
DB12113	CE-224535	FUCKCIVGBCBZNP-MRXNPFEDSA-N
DB12114	Poziotinib	LPFWVDIFUFFKJU-UHFFFAOYSA-N
DB12115	AZD-9164	FNYFFCOCVNTJCD-NNMXADRKSA-N
DB12116	Epigallocatechin gallate	WMBWREPUVVBILR-WIYYLYMNSA-N
DB12117	Mitometh	MOTIYCLHZZLHHQ-UHFFFAOYSA-N
DB12120	Avoralstat	TUWMKPVJGGWGNL-UHFFFAOYSA-N
DB12121	Entospletinib	XSMSNFMDVXXHGJ-UHFFFAOYSA-N
DB12122	Figopitant	HUTHJVYJUPXHDF-DEOSSOPVSA-N
DB12123	Cinepazide	RCUDFXMNPQNBDU-VOTSOKGWSA-N
DB12124	Namitecan	IBTISPLPBBHVSU-UVOOVGFISA-N
DB12125	Dianicline	SUPRUPHAEXPGPF-QWHCGFSZSA-N
DB12126	Bradykinin	QXZGBUJJYSLZLT-FDISYFBBSA-N
DB12127	Sultamicillin	OPYGFNJSCUDTBT-PMLPCWDUSA-N
DB12128	Ulimorelin	WGYPAJVJMXQXTR-ABNZCKJZSA-N
DB12129	Tideglusib	PMJIHLSCWIDGMD-UHFFFAOYSA-N
DB12130	Lorlatinib	IIXWYSCJSQVBQM-LLVKDONJSA-N
DB12131	Vinpocetine	DDNCQMVWWZOMLN-IRLDBZIGSA-N
DB12133	BLXA4	HEDVTGFTYROYFE-RREUNBNVSA-N
DB12134	Gepotidacin	PZFAZQUREQIODZ-LJQANCHMSA-N
DB12135	Elubrixin	YQYFEGTYCUQBEI-UHFFFAOYSA-N
DB12137	GSK-256066	JFHROPTYMMSOLG-UHFFFAOYSA-N
DB12138	PF-03715455	VGEXRDWWPSGZDH-UHFFFAOYSA-N
DB12139	Alisporivir	OLROWHGDTNFZBH-XEMWPYQTSA-N
DB12140	Dilmapimod	ORVNHOYNEHYKJG-UHFFFAOYSA-N
DB12141	Gilteritinib	GYQYAJJFPNQOOW-UHFFFAOYSA-N
DB12143	Rezatomidine	WQXVKEDUCPMRRI-JTQLQIEISA-N
DB12144	BMS-275183	AHXICHPPXIGCBN-GPWPDEGDSA-N
DB12145	AZD-0328	OCKIPDMKGPYYJS-ZDUSSCGKSA-N
DB12146	Rigosertib	OWBFCJROIKNMGD-BQYQJAHWSA-N
DB12147	Erdafitinib	OLAHOMJCDNXHFI-UHFFFAOYSA-N
DB12148	Menatetrenone	DKHGMERMDICWDU-GHDNBGIDSA-N
DB12149	S-3304	YWCLDDLVLSQGSZ-JOCHJYFZSA-N
DB12150	Pelubiprofen	AUZUGWXLBGZUPP-GXDHUFHOSA-N
DB12151	Brincidofovir	WXJFKKQWPMNTIM-VWLOTQADSA-N
DB12153	Citicoline	RZZPDXZPRHQOCG-OJAKKHQRSA-N
DB12154	Itacitinib	KTBSXLIQKWEBRB-UHFFFAOYSA-N
DB12155	Napabucasin	DPHUWDIXHNQOSY-UHFFFAOYSA-N
DB12156	Cordycepin	OFEZSBMBBKLLBJ-BAJZRUMYSA-N
DB12158	Filorexant	NPFDWHQSDBWQLH-QZTJIDSGSA-N
DB12160	Bucillamine	VUAFHZCUKUDDBC-BYPYZUCNSA-N
DB12161	Deutetrabenazine	MKJIEFSOBYUXJB-WEZHFFAMSA-N
DB12162	HX-1171	ATMNQRRJNBCQJO-UHFFFAOYSA-N
DB12163	Sarpogrelate	FFYNAVGJSYHHFO-UHFFFAOYSA-N
DB12164	Varespladib methyl	VJYDOJXJUCJUHL-UHFFFAOYSA-N
DB12165	Presatovir	GOFXWTVKPWJNGD-UWJYYQICSA-N
DB12166	Tetomilast	XDBHURGONHZNJF-UHFFFAOYSA-N
DB12167	LY-3023414	ACCFLVVUVBJNGT-AWEZNQCLSA-N
DB12168	MK-0557	RMYZIRFUCOMQRH-CAJLXGCNSA-N
DB12170	Veledimex	LZWZPGLVHLSWQX-XMMPIXPASA-N
DB12172	Nimorazole	MDJFHRLTPRPZLY-UHFFFAOYSA-N
DB12173	Diphencyprone	HCIBTBXNLVOFER-UHFFFAOYSA-N
DB12174	CUDC-101	PLIVFNIUGLLCEK-UHFFFAOYSA-N
DB12175	Seletracetam	ANWPENAPCIFDSZ-RQJHMYQMSA-N
DB12176	Tricaprylin	VLPFTAMPNXLGLX-UHFFFAOYSA-N
DB12177	Eplivanserin	VAIOZOCLKVMIMN-PRJWTAEASA-N
DB12178	Telinavir	ZILOOGIOHVCEKS-HZFUHODCSA-N
DB12179	Secoisolariciresinol	PUETUDUXMCLALY-HOTGVXAUSA-N
DB12180	Apitolisib	YOVVNQKCSKSHKT-HNNXBMFYSA-N
DB12181	Dalcetrapib	YZQLWPMZQVHJED-UHFFFAOYSA-N
DB12183	Sapitinib	DFJSJLGUIXFDJP-UHFFFAOYSA-N
DB12184	Gepirone	QOIGKGMMAGJZNZ-UHFFFAOYSA-N
DB12185	Exatecan	ZVYVPGLRVWUPMP-FYSMJZIKSA-N
DB12186	SRT-2104	LAMQVIQMVKWXOC-UHFFFAOYSA-N
DB12187	Abacavir hydroxyacetate	ZBBZROWQLKCFQK-KOLCDFICSA-N
DB12188	Zicronapine	BYPMJBXPNZMNQD-PZJWPPBQSA-N
DB12190	Faropenem	HGGAKXAHAYOLDJ-FHZUQPTBSA-N
DB12191	Obatoclax	RFTSSZJZXOSICM-GRSHGNNSSA-N
DB12192	Emeramide	JUTBAVRYDAKVGQ-UHFFFAOYSA-N
DB12193	Ajulemic acid	YCHYFHOSGQABSW-RTBURBONSA-N
DB12194	Atamestane	PEPMWUSGRKINHX-TXTPUJOMSA-N
DB12195	VP-14637	BLUJRJMLDHEMRX-UHFFFAOYSA-N
DB12196	CP-866087	ZBVPUFSKFGYNLC-FIDNPTQWSA-N
DB12197	Auriclosene	QYNRGGHZWCUZLK-UHFFFAOYSA-N
DB12198	Fosdagrocorat	BVXLAHSJXXSWFF-KEKPKEOLSA-N
DB12199	TRV-120027	XIEWFECSPPTVQN-KMIMAYJXSA-N
DB12200	Tivantinib	UCEQXRCJXIVODC-PMACEKPBSA-N
DB12201	PF-03654746	SXMBKHYDZOCBMT-PPUGGXLSSA-N
DB12203	Tozadenant	XNBRWUQWSKXMPW-UHFFFAOYSA-N
DB12204	Terbogrel	XUTLOCQNGLJNSA-RGVLZGJSSA-N
DB12206	N-6022	YVPGZQLRPAGKLA-UHFFFAOYSA-N
DB12207	Verdinexor	OPAKEJZFFCECPN-XQRVVYSFSA-N
DB12209	Tirasemtiv	RSQGZEAXODVTOL-UHFFFAOYSA-N
DB12210	AZD-6280	NVWCZRPXYVDQEE-UHFFFAOYSA-N
DB12211	PSI-697	DIEPFYNZGUUVHD-UHFFFAOYSA-N
DB12212	Landiolol	WMDSZGFJQKSLLH-RBBKRZOGSA-N
DB12214	Luseogliflozin	WHSOLWOTCHFFBK-ZQGJOIPISA-N
DB12215	Ezatiostat	GWEJFLVSOGNLSS-WPFOTENUSA-N
DB12216	Bergapten	BGEBZHIAGXMEMV-UHFFFAOYSA-N
DB12217	Iodide I-131	XMBWDFGMSWQBCA-RNFDNDRNSA-M
DB12218	AZD-5363	JDUBGYFRJFOXQC-KRWDZBQOSA-N
DB12219	GSK-424887	DRXBWLBZWAJIEF-IBGZPJMESA-N
DB12220	ORG-25935	UEBBYLJZCHTLEG-UTKZUKDTSA-N
DB12221	Canrenone	UJVLDDZCTMKXJK-WNHSNXHDSA-N
DB12222	Lurtotecan	RVFGKBWWUQOIOU-NDEPHWFRSA-N
DB12223	Squaric Acid Dibutyl Ester	XBRWELTXMQSEIN-UHFFFAOYSA-N
DB12224	Oxothiazolidinecarboxylic acid	BMLMGCPTLHPWPY-REOHCLBHSA-N
DB12225	Beclabuvir	ZTTKEBYSXUCBSE-QDFUAKMASA-N
DB12226	Terameprocol	ORQFDHFZSMXRLM-IYBDPMFKSA-N
DB12227	Tetulomab tetraxetan Lu-177	RMJFCRKHOJOLIN-CGAIIQECSA-N
DB12228	Telcagepant	CGDZXLJGHVKVIE-DNVCBOLYSA-N
DB12229	Cerlapirdine	NXQGEDVQXVTCDA-UHFFFAOYSA-N
DB12230	Bunazosin	RHLJLALHBZGAFM-UHFFFAOYSA-N
DB12231	Temefos	WWJZWCUNLNYYAU-UHFFFAOYSA-N
DB12232	KRN-7000	VQFKFAKEUMHBLV-BYSUZVQFSA-N
DB12233	Iguratimod	ANMATWQYLIFGOK-UHFFFAOYSA-N
DB12234	BMS-214662	OLCWFLWEHWLBTO-HSZRJFAPSA-N
DB12235	Estetrol	AJIPIJNNOJSSQC-NYLIRDPKSA-N
DB12236	Bexagliflozin	BTCRKOKVYTVOLU-SJSRKZJXSA-N
DB12237	GW-274150	MOLOJNHYNHBPCW-ZETCQYMHSA-N
DB12238	MK-0777	QKIWQBLNTSQOLY-UHFFFAOYSA-N
DB12239	Balicatib	LLCRBOWRJOUJAE-UHFFFAOYSA-N
DB12241	TAK-733	RCLQNICOARASSR-SECBINFHSA-N
DB12242	AZD-7762	IAYGCINLNONXHY-LBPRGKRZSA-N
DB12243	Edaravone	QELUYTUMUWHWMC-UHFFFAOYSA-N
DB12244	CP-601927	RNOBTWYQAWEZHH-JGVFFNPUSA-N
DB12245	Triclabendazole	NQPDXQQQCQDHHW-UHFFFAOYSA-N
DB12247	AZD-4547	VRQMAABPASPXMW-HDICACEKSA-N
DB12248	Tulobuterol	YREYLAVBNPACJM-UHFFFAOYSA-N
DB12251	Moxaverine	MYCMTMIGRXJNSO-UHFFFAOYSA-N
DB12252	PG-701	OKRSVUYYCJPECG-LFGMFVMYSA-N
DB12253	GDC-0810	BURHGPHDEVGCEZ-KJGLQBJMSA-N
DB12254	ABT-751	URCVCIZFVQDVPM-UHFFFAOYSA-N
